Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2026-12-29,"Razor Worm",5.8+,"Emma led",https://www.mountainproject.com/route/105888820/razor-worm,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.1,-1,Follow,,Trad,,100,2200
2026-12-28,"Golden Locks",5.9,"Used lots of small gear",https://www.mountainproject.com/route/105888826/golden-locks,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.6,-1,Lead,Fell/Hung,Trad,,100,2400
2026-05-01,Raindancer,5.10a,,https://www.mountainproject.com/route/106065295/raindancer,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",1.9,1,Lead,Fell/Hung,Sport,,30,2600
2026-05-01,"Pocahontas Path",5.7,,https://www.mountainproject.com/route/107353477/pocahontas-path,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",2.0,-1,Lead,Onsight,Sport,,30,1800
2026-05-01,"My Way or The Highway",5.9,,https://www.mountainproject.com/route/116162358/my-way-or-the-highway,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",3.1,-1,Lead,Onsight,Sport,,80,2400
2026-05-01,"Ridin' the Short Buzz!",5.9,,https://www.mountainproject.com/route/107334457/ridin-the-short-buzz,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",2.5,-1,TR,,Sport,,35,2400
2026-05-01,"Baby Blue Eyes",5.10c,,https://www.mountainproject.com/route/106065321/baby-blue-eyes,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",3.1,-1,Lead,Onsight,Sport,,75,3200
2026-05-01,"Cheaper Than a Movie",5.8,,https://www.mountainproject.com/route/106064911/cheaper-than-a-movie,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",3.7,-1,Follow,,Trad,,100,2100
2026-05-01,"Brown Eyed Girl",5.10a,,https://www.mountainproject.com/route/106065316/brown-eyed-girl,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Chica Bonita Wall",3.3,-1,Lead,Onsight,Sport,,70,2600
2026-04-30,Whip-Stocking,5.11a,,https://www.mountainproject.com/route/106081917/whip-stocking,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Drive-By Crag",3.7,-1,TR,,Sport,,80,4600
2026-04-30,Whip-Stocking,5.11a,"Fell twice above the 4th bolt ",https://www.mountainproject.com/route/106081917/whip-stocking,1,"Kentucky > Red River Gorge > (PMRP) Pendergrass-Murray Recreational Preserve > Drive-Bob Parking > Drive-By Crag",3.7,-1,Lead,Fell/Hung,Sport,,80,4600
